### Third & 20 Metrics Chart,Metric,Description,Source,Computation/Grade
"Yes, this architecture spec aligns with what we've discussed—real-time sub-1s latency, zero manual entry, film-linked stats, and next-gen wearables via UWB/GPS for position/load data (integrated in the DATA layer, hardware at $3.5K-$5K total). Claude's version missed wearables, but this includes them for physical metrics like Player Load and High Speed Efforts, combined with CV for cognitive edges like Decision Latency.",Snap Detection,Auto-detects play start from video.,Video Stream,Frame analysis; latency <100ms.
,Recognition Latency (RL),Time from defensive shift to QB adjustment.,Jersey OCR + Tracking,"Δt calculation; Elite: 0.2s (100), Poor: 1.5s (0)."
"This chart lists all key metrics from the spec. Use it as swarm instructions: Process Hudl film + wearable data to compute these (e.g., CV for RL/AA, UWB for position/velocity, inference for probabilities). Columns: **Category** (from layers), **Metric**, **Description**, **Source** (CV/ML, Wearables, Inference, etc.), **Computation/Grade** (how to derive, with thresholds where applicable).",First Step Quickness (FSQ),Snap to first movement vector change.,Player Tracking,"Frame count; Elite: 0.15s (100), Poor: 0.60s (0)."
,Assignment Accuracy (AA),Path vs. playbook graph.,Formation Recognition + Tracking,Binary audit; % correct vs. install.
| Category | Metric | Description | Source | Computation/Grade |,Leverage Integrity (LI),% frames maintaining position vs. ball.,Position Data,Frame %; Weight 15% in SDI (OL/DL).
|----------|--------|-------------|--------|-------------------|,Coverage Win Rate (CWR),Separation at break + ball arrival.,DB/WR Tracking,Yards calculation; Binary win/loss.
| CV / ML | Snap Detection | Auto-detects play start from video. | Video Stream | Frame analysis; latency <100ms. |,Formation Recognition,Auto-IDs offensive/defensive setups.,Video + Jersey OCR,Pattern match; Links to tendencies.
"| CV / ML | Recognition Latency (RL) | Time from defensive shift to QB adjustment. | Jersey OCR + Tracking | Δt calculation; Elite: 0.2s (100), Poor: 1.5s (0). |",Jersey OCR → Roster Match,Identifies players by number/color.,Video Stream,OCR + database; Enables per-player SDI.
"| CV / ML | First Step Quickness (FSQ) | Snap to first movement vector change. | Player Tracking | Frame count; Elite: 0.15s (100), Poor: 0.60s (0). |",Pursuit Angle,Actual vs. optimal intercept path.,Player Position,Vector analysis; Defensive grade.
| CV / ML | Assignment Accuracy (AA) | Path vs. playbook graph. | Formation Recognition + Tracking | Binary audit; % correct vs. install. |,Decision Point Timing,Commit frame detection.,Trajectory Inflection,Inflection point; Part of decision quality.
| CV / ML | Leverage Integrity (LI) | % frames maintaining position vs. ball. | Position Data | Frame %; Weight 15% in SDI (OL/DL). |,GPS/UWB Player Position,Real-time tracking for all 22 players.,Wearables (UWB Tags),"UWB anchors; <100ms capture, offline."
| CV / ML | Coverage Win Rate (CWR) | Separation at break + ball arrival. | DB/WR Tracking | Yards calculation; Binary win/loss. |,Player Load/High Speed Efforts,"Effort, sprints, contacts.",Wearables (UWB/GPS),Derived from position/velocity; Predictive fatigue.
| CV / ML | Formation Recognition | Auto-IDs offensive/defensive setups. | Video + Jersey OCR | Pattern match; Links to tendencies. |,Scoreboard OCR (Game State),"Auto-reads score, down, distance.",Camera Array,OCR; Updates inference <200ms.
| CV / ML | Jersey OCR → Roster Match | Identifies players by number/color. | Video Stream | OCR + database; Enables per-player SDI. |,Play Clock Detection,Tracks time between plays.,Video Stream,OCR; For pace/tendency analysis.
| CV / ML | Pursuit Angle | Actual vs. optimal intercept path. | Player Position | Vector analysis; Defensive grade. |,Public Film Scraping,Baselines from YouTube HS games.,Web Scraping,Normative SDI distributions (OH/TX/FL/CA).
| CV / ML | Decision Point Timing | Commit frame detection. | Trajectory Inflection | Inflection point; Part of decision quality. |,Probability Chains,Success rates vs. opponent looks.,Historical Match,Calc <200ms; Outputs top 3 plays + %.
"| Data | GPS/UWB Player Position | Real-time tracking for all 22 players. | Wearables (UWB Tags) | UWB anchors; <100ms capture, offline. |",Scheme Compatibility Scoring,Execution fit vs. playbook.,Pattern Matching,Cosine similarity; 92% example fit.
"| Data | Player Load/High Speed Efforts | Effort, sprints, contacts. | Wearables (UWB/GPS) | Derived from position/velocity; Predictive fatigue. |",Coach DNA Pattern Matching,Tracks coach tendencies over time.,Database Lookup,Multi-game analysis; Contradiction flags.
"| Data | Scoreboard OCR (Game State) | Auto-reads score, down, distance. | Camera Array | OCR; Updates inference <200ms. |",Game State Weighting,Adjusts for down/field/score.,Scoreboard + Position,Weighted probabilities; <300ms lookup.
| Data | Play Clock Detection | Tracks time between plays. | Video Stream | OCR; For pace/tendency analysis. |,Contradiction Detection,Spots busted assignments.,AA + Tracking,Flags mistakes; Links to film frame.
| Data | Public Film Scraping | Baselines from YouTube HS games. | Web Scraping | Normative SDI distributions (OH/TX/FL/CA). |,SDI Composite Score,Overall player grade (>90 Elite target).,All Components,"Weighted: RL 30%, FSQ 25%, AA 30%, LI 15%; Grades: Elite 90+, Above Avg 75-89, Avg 50-74, Below Avg 25-49, Poor <25."
| Inference | Probability Chains | Success rates vs. opponent looks. | Historical Match | Calc <200ms; Outputs top 3 plays + %. |,Play Recommendations,Top 3 plays + % vs. defense.,Inference Engine,Ranked by probability; Tap for film.
